#cubename 	 field 	 f1[GHz] 	 f2[GHz] 	 time[sec]
uid___A001_X5ac_X2ef.cube_0.J1427-4206_B3 	 J1427-4206 	 109.094014088 	 110.953389088 	 3259.87199974
uid___A001_X5ac_X2ef.cube_1.J1427-4206_B3 	 J1427-4206 	 108.668067966 	 110.527442966 	 3259.87199974
uid___A001_X5ac_X2ef.cube_2.J1427-4206_B3 	 J1427-4206 	 98.7569429663 	 96.8975679663 	 3259.87199974
uid___A001_X5ac_X320.cube_01.J0854+2006_B3 	 J0854+2006 	 97.0419367516 	 93.0575617516 	 3592.51200772
uid___A001_X5ac_X320.cube_23.J0854+2006_B3 	 J0854+2006 	 105.187991279 	 108.984866279 	 3592.51200772
uid___A001_X5ac_X366.cube_2.J1911-2006_B7 	 J1911-2006 	 345.74580325 	 343.88642825 	 2736.72000694
uid___A001_X5ac_X38f.cube_01.J0006-0623_B7 	 J0006-0623 	 339.9242625 	 336.0023875 	 2703.45600224
uid___A001_X5ac_X38f.cube_23.J0006-0623_B7 	 J0006-0623 	 348.0023875 	 351.9867625 	 2703.45600224
uid___A001_X5ac_X406.cube_01.J1427-4206_B7 	 J1427-4206 	 339.4086375 	 335.5180125 	 3223.58398628
uid___A001_X5ac_X406.cube_23.J1427-4206_B7 	 J1427-4206 	 347.5180125 	 351.4711375 	 3223.58398628
uid___A001_X5ac_X4a3.cube_03.J2056-4714_B6 	 J2056-4714 	 233.502381865 	 229.627381865 	 2776.0320015
uid___A001_X5ac_X4a3.cube_12.J2056-4714_B6 	 J2056-4714 	 244.519105427 	 248.503480427 	 2776.0320015
uid___A001_X5ac_X7c4.cube_01.J1924-2914_B6 	 J1924-2914 	 218.545323725 	 216.623448725 	 2370.81599903
uid___A001_X5ac_X7c4.cube_4.J1924-2914_B6 	 J1924-2914 	 230.92242142 	 231.87554642 	 2370.81599903
uid___A001_X5ac_X953.cube_0.J1036-3744_B6 	 J1036-3744 	 231.965684422 	 229.996934422 	 2628.86398983
uid___A001_X5ac_X953.cube_1.J1036-3744_B6 	 J1036-3744 	 242.996322236 	 244.965072236 	 2628.86398983
uid___A001_X5ac_Xa96.cube_01.J1229+0203_B3 	 J1229+0203 	 110.240701272 	 113.943826272 	 3259.87200069
uid___A001_X5ac_Xd79.cube_0.J1000+0005_B3 	 J1000+0005 	 97.6948069321 	 99.5541819321 	 2532.09600448
uid___A001_X5ac_Xd79.cube_1.J1000+0005_B3 	 J1000+0005 	 98.7368766427 	 100.596251643 	 2532.09600448
uid___A001_X5ac_Xd79.cube_2.J1000+0005_B3 	 J1000+0005 	 87.6126704393 	 85.7532954393 	 2532.09600448
uid___A001_X5ad_X2ae.cube_01.J1427-4206_B6 	 J1427-4206 	 232.408075873 	 229.689325873 	 3852.57599831
uid___A001_X5ad_X2ae.cube_23.J1427-4206_B6 	 J1427-4206 	 243.594360204 	 247.141235204 	 3852.57599831
uid___A001_X5ad_X888.cube_03.J1744-3116_B6 	 J1744-3116 	 229.440977091 	 233.409727091 	 2737.72800064
uid___A001_X5ad_X888.cube_03.J1924-2914_B6 	 J1924-2914 	 229.420270478 	 233.404645478 	 2703.45600128
uid___A001_X5ad_X888.cube_12.J1924-2914_B6 	 J1924-2914 	 230.415117686 	 234.399492686 	 2703.45600128
uid___A001_X5ad_X888.cube_2.J1744-3116_B6 	 J1744-3116 	 230.435780101 	 232.420155101 	 2737.72800064
uid___A001_X5ad_X89f.cube_0.J1957-3845_B9 	 J1957-3845 	 675.0023875 	 676.9867625 	 6898.75199509
uid___A001_X5ad_X89f.cube_1.J1957-3845_B9 	 J1957-3845 	 677.0023875 	 678.9867625 	 6898.75199509
uid___A001_X5ad_X89f.cube_2.J1957-3845_B9 	 J1957-3845 	 679.0023875 	 680.9867625 	 6898.75199509
uid___A001_X5ad_X987.cube_0.J1924-2914_B6 	 J1924-2914 	 221.16537891 	 220.21225391 	 3259.87199688
uid___A001_X5ad_X987.cube_5.J1924-2914_B6 	 J1924-2914 	 231.532497952 	 233.438747952 	 3259.87199688
uid___A001_X5ad_Xb57.cube_01.J1256-0547_B6 	 J1256-0547 	 226.984375 	 223.015625 	 2519.99999905
uid___A001_X5ad_Xb57.cube_23.J1256-0547_B6 	 J1256-0547 	 239.015625 	 242.984375 	 2519.99999905
uid___A001_X5ad_Xea5.cube_01.J0040-3243_B4 	 J0040-3243 	 138.781928889 	 134.797553889 	 3528.00000191
uid___A001_X5ad_Xea5.cube_01.J2357-5311_B4 	 J2357-5311 	 138.781928889 	 134.797553889 	 4205.3759985
uid___A001_X5ad_Xea5.cube_23.J0040-3243_B4 	 J0040-3243 	 146.880553889 	 150.693053889 	 3528.00000191
uid___A001_X5ad_Xea5.cube_23.J2357-5311_B4 	 J2357-5311 	 146.880553889 	 150.693053889 	 4205.3759985
uid___A001_X8e_Xe.cube_01.J2148+0657_B3 	 J2148+0657 	 88.0440355579 	 84.1690355579 	 2975.71199799
uid___A001_X8e_Xe.cube_23.J2148+0657_B3 	 J2148+0657 	 96.1063508967 	 100.043850897 	 2975.71199799
uid___A001_Xa0_X107.cube_1.J1342-2900_B7 	 J1342-2900 	 343.274756046 	 345.243506046 	 2807.80800152
uid___A001_Xa0_X11e8.cube_01.J0510+1800_B7 	 J0510+1800 	 342.794720337 	 346.732220337 	 3777.69600201
uid___A001_Xa0_X11e8.cube_23.J0510+1800_B7 	 J0510+1800 	 334.763470337 	 330.794720337 	 3777.69600201
uid___A001_Xa0_X12ed.cube_02.J0334-4008_B9 	 J0334-4008 	 665.673306603 	 669.485806603 	 7066.7519989
uid___A001_Xa0_X12ed.cube_1.J0334-4008_B9 	 J0334-4008 	 655.051806927 	 653.067431927 	 7066.7519989
uid___A001_Xa0_X1808.cube_1.J0423-0120_B7 	 J0423-0120 	 331.505979799 	 329.646604799 	 2511.74399947
uid___A001_Xa0_X2b5.cube_01.J0334-4008_B6 	 J0334-4008 	 215.1921875 	 211.2078125 	 2827.87199974
uid___A001_Xa0_X2b5.cube_23.J0334-4008_B6 	 J0334-4008 	 227.2078125 	 231.1921875 	 2827.87199974
uid___A001_Xa0_X54.cube_0.J1651+0129_B7 	 J1651+0129 	 345.397061903 	 347.381436903 	 2661.50399971
uid___A001_Xa0_X54.cube_1.J1651+0129_B7 	 J1651+0129 	 343.730061903 	 345.714436903 	 2661.50399971
uid___A001_Xa0_X54.cube_23.J1651+0129_B7 	 J1651+0129 	 335.63193838 	 331.78818838 	 2661.50399971
uid___A001_Xa0_X83d.cube_01.J1245-1616_B7 	 J1245-1616 	 336.719234331 	 332.844234331 	 3158.78399849
uid___A001_Xa0_X83d.cube_23.J1245-1616_B7 	 J1245-1616 	 344.905659599 	 348.530659599 	 3158.78399849
uid___A001_Xa0_Xe71.cube_01.J1924-2914_B7 	 J1924-2914 	 345.683088177 	 341.933088177 	 7573.15200043
uid___A001_Xa0_Xe71.cube_23.J1924-2914_B7 	 J1924-2914 	 353.870588177 	 357.667463177 	 7573.15200043
