#cubename 	 field 	band  f1[GHz] 	 f2[GHz] 	 time[sec]
uid___A001_X5ac_X406.cube_23.J1427-4206_B7.image 	 J1427-4206 7	 347.5180125 	 351.4711375 	 3223.58398628
uid___A001_X5ac_X4a3.cube_03.J2056-4714_B6.image 	 J2056-4714 6	 233.502381865 	 229.627381865 	 2776.0320015
uid___A001_X5ac_X4a3.cube_12.J2056-4714_B6.image 	 J2056-4714 6	 244.519105427 	 248.503480427 	 2776.0320015
uid___A001_X5ac_X7c4.cube_01.J1924-2914_B6.image 	 J1924-2914 6	 218.545323725 	 216.623448725 	 2370.81599903
uid___A001_X5ac_X7c4.cube_4.J1924-2914_B6.image 	 J1924-2914 6	 230.92242142 	 231.87554642 	 2370.81599903
uid___A001_X5ac_X953.cube_0.J1036-3744_B6.image 	 J1036-3744 6	 231.965684422 	 229.996934422 	 2628.86398983
uid___A001_X5ac_X953.cube_1.J1036-3744_B6.image 	 J1036-3744 6	 242.996322236 	 244.965072236 	 2628.86398983
uid___A001_X5ac_Xa96.cube_01.J1229+0203_B3.image 	 J1229+0203 3	 110.240701272 	 113.943826272 	 3259.87200069
uid___A001_X5ac_Xd79.cube_0.J1000+0005_B3.image 	 J1000+0005 3	 97.6948069321 	 99.5541819321 	 2532.09600448
uid___A001_X5ac_Xd79.cube_1.J1000+0005_B3.image 	 J1000+0005 3	 98.7368766427 	 100.596251643 	 2532.09600448
uid___A001_X5ac_Xd79.cube_2.J1000+0005_B3.image 	 J1000+0005 3	 87.6126704393 	 85.7532954393 	 2532.09600448
uid___A001_X5ad_X2ae.cube_01.J1427-4206_B6.image 	 J1427-4206 6	 232.408075873 	 229.689325873 	 3852.57599831
uid___A001_X5ad_X2ae.cube_23.J1427-4206_B6.image 	 J1427-4206 6	 243.594360204 	 247.141235204 	 3852.57599831
uid___A001_X5ad_X888.cube_03.J1744-3116_B6.image 	 J1744-3116 6	 229.440977091 	 233.409727091 	 2737.72800064
uid___A001_X5ad_X888.cube_03.J1924-2914_B6.image 	 J1924-2914 6	 229.420270478 	 233.404645478 	 2703.45600128
uid___A001_X5ad_X888.cube_12.J1924-2914_B6.image 	 J1924-2914 6	 230.415117686 	 234.399492686 	 2703.45600128
uid___A001_X5ad_X888.cube_2.J1744-3116_B6.image 	 J1744-3116 6	 230.435780101 	 232.420155101 	 2737.72800064
uid___A001_X5ad_X89f.cube_0.J1957-3845_B9.image 	 J1957-3845 9	 675.0023875 	 676.9867625 	 6898.75199509
uid___A001_X5ad_X89f.cube_1.J1957-3845_B9.image 	 J1957-3845 9	 677.0023875 	 678.9867625 	 6898.75199509
